B-V;Vmag;log.Teff;logL;Age;Mass
 0.250;12.310; 4.040; 1.70; 4.62e+07;  2.67
 0.250;12.310; 4.040; 1.70; 4.62e+07;  2.67
 0.320;12.340; 3.981; 1.60; 2.21e+08;  2.44
 0.320;12.340; 3.981; 1.60; 2.21e+08;  2.44
 0.320;12.340; 3.981; 1.60; 2.21e+08;  2.44
 0.290;12.350; 4.000; 1.62; 1.62e+08;  2.49
 0.290;12.350; 4.000; 1.62; 1.62e+08;  2.49
 0.290;12.350; 4.000; 1.62; 1.62e+08;  2.49
 0.380;12.510; 3.945; 1.49; 3.27e+08;  2.27
 0.380;12.510; 3.945; 1.49; 3.27e+08;  2.27
 0.380;12.510; 3.945; 1.49; 3.27e+08;  2.27
 0.440;12.590; 3.918; 1.44; 5.91e+08;  2.05
 0.440;12.590; 3.918; 1.44; 5.91e+08;  2.05
 0.440;12.590; 3.918; 1.44; 5.91e+08;  2.05
 0.340;12.690; 3.969; 1.45; 2.20e+08;  2.24
 0.340;12.690; 3.969; 1.45; 2.20e+08;  2.24
 0.380;12.690; 3.945; 1.42; 3.17e+08;  2.19
 0.380;12.690; 3.945; 1.42; 3.17e+08;  2.19
 0.380;12.690; 3.945; 1.42; 3.17e+08;  2.19
 0.340;12.690; 3.969; 1.45; 2.20e+08;  2.24
 0.380;12.730; 3.945; 1.40; 3.13e+08;  2.17
 0.420;12.760; 3.927; 1.38; 3.89e+08;  2.13
 0.420;12.760; 3.927; 1.38; 3.89e+08;  2.13
 0.560;12.800; 3.869; 1.34; 7.93e+08;  1.90
 0.560;12.800; 3.869; 1.34; 7.93e+08;  1.90
 0.560;12.800; 3.869; 1.34; 7.93e+08;  1.90
 0.410;12.900; 3.932; 1.33; 3.57e+08;  2.08
 0.410;12.900; 3.932; 1.33; 3.57e+08;  2.08
 0.410;12.900; 3.932; 1.33; 3.57e+08;  2.08
 0.460;12.930; 3.909; 1.30; 4.68e+08;  2.03
 0.460;12.930; 3.909; 1.30; 6.10e+08;  1.95
 0.460;12.930; 3.909; 1.30; 6.79e+08;  1.91
 0.450;12.930; 3.914; 1.30; 4.44e+08;  2.04
 0.450;12.930; 3.914; 1.30; 6.44e+08;  1.93
 0.450;12.930; 3.914; 1.30; 6.56e+08;  1.92
 0.450;12.930; 3.914; 1.30; 4.44e+08;  2.04
 0.450;12.930; 3.914; 1.30; 6.44e+08;  1.93
 0.450;12.930; 3.914; 1.30; 6.56e+08;  1.92
 0.460;12.930; 3.909; 1.30; 4.68e+08;  2.03
 0.460;12.930; 3.909; 1.30; 6.10e+08;  1.95
 0.460;12.930; 3.909; 1.30; 6.79e+08;  1.91
 0.460;12.930; 3.909; 1.30; 4.68e+08;  2.03
 0.460;12.930; 3.909; 1.30; 6.10e+08;  1.95
 0.460;12.930; 3.909; 1.30; 6.79e+08;  1.91
 0.450;12.930; 3.914; 1.30; 4.44e+08;  2.04
 0.450;12.930; 3.914; 1.30; 6.44e+08;  1.93
 0.450;12.930; 3.914; 1.30; 6.56e+08;  1.92
 0.490;13.000; 3.896; 1.26; 5.37e+08;  1.99
 0.490;13.000; 3.896; 1.26; 5.75e+08;  1.97
 0.490;13.000; 3.896; 1.26; 7.57e+08;  1.86
 0.490;13.000; 3.896; 1.26; 5.37e+08;  1.99
 0.490;13.000; 3.896; 1.26; 5.75e+08;  1.97
 0.490;13.000; 3.896; 1.26; 7.57e+08;  1.86
 0.530;13.040; 3.881; 1.24; 8.43e+08;  1.82
 0.530;13.040; 3.881; 1.24; 8.43e+08;  1.82
 0.530;13.040; 3.881; 1.24; 8.43e+08;  1.82
 0.440;13.060; 3.918; 1.25; 4.08e+08;  1.99
 0.440;13.060; 3.918; 1.25; 4.08e+08;  1.99
 0.420;13.070; 3.927; 1.26; 3.52e+08;  2.00
 0.550;13.070; 3.873; 1.23; 8.85e+08;  1.80
 0.550;13.070; 3.873; 1.23; 8.85e+08;  1.80
 0.420;13.070; 3.927; 1.26; 3.52e+08;  2.00
 0.420;13.090; 3.927; 1.25; 3.48e+08;  1.99
 0.420;13.090; 3.927; 1.25; 3.48e+08;  1.99
 0.380;13.110; 3.945; 1.25; 2.24e+08;  2.02
 0.380;13.110; 3.945; 1.25; 2.24e+08;  2.02
 0.480;13.120; 3.900; 1.22; 5.06e+08;  1.94
 0.480;13.120; 3.900; 1.22; 7.34e+08;  1.84
 0.480;13.120; 3.900; 1.22; 7.49e+08;  1.83
 0.480;13.120; 3.900; 1.22; 5.06e+08;  1.94
 0.480;13.120; 3.900; 1.22; 7.34e+08;  1.84
 0.480;13.120; 3.900; 1.22; 7.49e+08;  1.83
 0.480;13.120; 3.900; 1.22; 5.06e+08;  1.94
 0.480;13.120; 3.900; 1.22; 7.34e+08;  1.84
 0.480;13.120; 3.900; 1.22; 7.49e+08;  1.83
 0.400;13.220; 3.936; 1.20; 2.45e+08;  1.96
 0.400;13.220; 3.936; 1.20; 2.45e+08;  1.96
 0.400;13.300; 3.936; 1.17; 2.12e+08;  1.93
 0.400;13.300; 3.936; 1.17; 2.12e+08;  1.93
 0.350;13.340; 3.963; 1.18;-3.73e+07;  2.00
 0.350;13.340; 3.963; 1.18;-3.73e+07;  2.00
 0.350;13.340; 3.963; 1.18;-3.73e+07;  2.00
 0.400;13.340; 3.936; 1.15; 1.87e+08;  1.92
 0.400;13.340; 3.936; 1.15; 1.87e+08;  1.92
 0.410;13.390; 3.932; 1.13; 1.99e+08;  1.89
 0.410;13.390; 3.932; 1.13; 1.99e+08;  1.89
 0.410;13.390; 3.932; 1.13; 1.99e+08;  1.89
 0.440;13.460; 3.918; 1.09; 2.85e+08;  1.84
 0.440;13.460; 3.918; 1.09; 2.85e+08;  1.84
 0.530;13.490; 3.881; 1.06; 5.96e+08;  1.78
 0.490;13.540; 3.896; 1.05; 4.52e+08;  1.78
 0.490;13.540; 3.896; 1.05; 4.52e+08;  1.78
 0.490;13.540; 3.896; 1.05; 4.52e+08;  1.78
 0.690;13.560; 3.825; 1.04; 1.33e+09;  1.59
 0.690;13.560; 3.825; 1.04; 1.33e+09;  1.59
 0.690;13.560; 3.825; 1.04; 1.33e+09;  1.59
 0.320;13.570; 3.981; 1.11;-3.31e+08;  1.99
 0.320;13.570; 3.981; 1.11;-3.31e+08;  1.99
 0.320;13.570; 3.981; 1.11;-3.31e+08;  1.99
 0.450;13.580; 3.914; 1.04; 2.63e+08;  1.79
 0.450;13.580; 3.914; 1.04; 2.63e+08;  1.79
 0.540;13.630; 3.877; 1.01; 6.02e+08;  1.73
 0.540;13.630; 3.877; 1.01; 6.02e+08;  1.73
 0.540;13.630; 3.877; 1.01; 6.02e+08;  1.73
 0.690;13.660; 3.825; 1.00; 1.40e+09;  1.56
 0.690;13.660; 3.825; 1.00; 1.40e+09;  1.56
 0.690;13.660; 3.825; 1.00; 1.40e+09;  1.56
 0.560;13.700; 3.869; 0.98; 6.57e+08;  1.70
 0.520;13.700; 3.885; 0.98; 5.05e+08;  1.71
 0.520;13.700; 3.885; 0.98; 5.05e+08;  1.71
 0.520;13.700; 3.885; 0.98; 5.05e+08;  1.71
 0.410;13.730; 3.932; 0.99;-8.55e+07;  1.80
 0.410;13.730; 3.932; 0.99;-8.55e+07;  1.80
 0.410;13.730; 3.932; 0.99;-8.55e+07;  1.80
 0.500;13.750; 3.892; 0.96; 3.90e+08;  1.70
 0.420;13.750; 3.927; 0.98;-5.42e+07;  1.78
 0.420;13.750; 3.927; 0.98;-5.42e+07;  1.78
 0.500;13.750; 3.892; 0.96; 3.90e+08;  1.70
 0.500;13.750; 3.892; 0.96; 3.90e+08;  1.70
 0.420;13.750; 3.927; 0.98;-5.42e+07;  1.78
 0.750;13.790; 3.806; 0.95; 1.58e+09;  1.51
 0.750;13.790; 3.806; 0.95; 1.58e+09;  1.51
 0.750;13.790; 3.806; 0.95; 1.58e+09;  1.51
 0.600;13.800; 3.854; 0.94; 7.87e+08;  1.66
 0.600;13.800; 3.854; 0.94; 1.10e+09;  1.57
 0.600;13.800; 3.854; 0.94; 1.17e+09;  1.55
 0.600;13.800; 3.854; 0.94; 7.87e+08;  1.66
 0.600;13.800; 3.854; 0.94; 1.10e+09;  1.57
 0.600;13.800; 3.854; 0.94; 1.17e+09;  1.55
 0.500;13.810; 3.892; 0.94; 3.52e+08;  1.68
 0.500;13.810; 3.892; 0.94; 3.52e+08;  1.68
 0.500;13.810; 3.892; 0.94; 3.52e+08;  1.68
 0.600;13.880; 3.854; 0.90; 7.71e+08;  1.63
 0.600;13.880; 3.854; 0.90; 7.71e+08;  1.63
 0.600;13.880; 3.854; 0.90; 7.71e+08;  1.63
 0.670;13.890; 3.831; 0.91; 1.46e+09;  1.50
 0.670;13.890; 3.831; 0.91; 1.46e+09;  1.50
 0.670;13.890; 3.831; 0.91; 1.46e+09;  1.50
 0.450;13.900; 3.914; 0.91;-4.51e+07;  1.71
 0.450;13.900; 3.914; 0.91;-4.51e+07;  1.71
 0.450;13.900; 3.914; 0.91;-4.51e+07;  1.71
 0.650;13.940; 3.837; 0.88; 9.48e+08;  1.60
 0.650;13.940; 3.837; 0.88; 1.09e+09;  1.57
 0.650;13.940; 3.837; 0.88; 1.40e+09;  1.49
 0.650;13.940; 3.837; 0.88; 9.48e+08;  1.60
 0.650;13.940; 3.837; 0.88; 1.09e+09;  1.57
 0.650;13.940; 3.837; 0.88; 1.40e+09;  1.49
 0.490;13.970; 3.896; 0.88; 1.31e+08;  1.65
 0.490;13.970; 3.896; 0.88; 1.31e+08;  1.65
 0.480;13.990; 3.900; 0.87; 4.22e+07;  1.65
 0.480;13.990; 3.900; 0.87; 4.22e+07;  1.65
 0.480;13.990; 3.900; 0.87; 4.22e+07;  1.65
 0.530;14.090; 3.881; 0.82; 2.70e+08;  1.59
 0.530;14.090; 3.881; 0.82; 2.70e+08;  1.59
 0.560;14.120; 3.869; 0.81; 4.46e+08;  1.56
 0.560;14.120; 3.869; 0.81; 4.46e+08;  1.56
 0.610;14.120; 3.850; 0.81; 7.35e+08;  1.55
 0.560;14.120; 3.869; 0.81; 4.46e+08;  1.56
 0.610;14.120; 3.850; 0.81; 7.35e+08;  1.55
 0.580;14.250; 3.862; 0.76; 4.58e+08;  1.52
 0.580;14.250; 3.862; 0.76; 4.58e+08;  1.52
 0.580;14.250; 3.862; 0.76; 4.58e+08;  1.52
 0.380;14.350; 3.945; 0.76;-1.03e+09;  1.67
 0.380;14.350; 3.945; 0.76;-1.03e+09;  1.67
 0.570;14.350; 3.865; 0.72; 2.38e+08;  1.50
 0.570;14.350; 3.865; 0.72; 2.38e+08;  1.50
 0.790;14.510; 3.795; 0.67; 2.78e+09;  1.28
 0.790;14.510; 3.795; 0.67; 2.78e+09;  1.28
 0.560;14.530; 3.869; 0.65;-1.20e+08;  1.47
 0.560;14.530; 3.869; 0.65;-1.20e+08;  1.47
 0.540;14.710; 3.877; 0.58;-6.41e+08;  1.44
 0.540;14.710; 3.877; 0.58;-6.41e+08;  1.44
 0.620;14.760; 3.847; 0.55; 1.81e+08;  1.37
 0.560;14.760; 3.869; 0.56;-5.36e+08;  1.42
 0.620;14.760; 3.847; 0.55; 1.81e+08;  1.37
 0.620;14.760; 3.847; 0.55; 1.81e+08;  1.37
 0.560;14.760; 3.869; 0.56;-5.36e+08;  1.42
 0.920;14.900; 3.766; 0.53; 4.30e+09;  1.16
 0.920;14.900; 3.766; 0.53; 4.30e+09;  1.16
 0.560;14.950; 3.869; 0.48;-9.58e+08;  1.38
 0.560;14.950; 3.869; 0.48;-9.58e+08;  1.38
 0.080; 8.200; 4.075; 2.92; 6.08e+07;  4.96
 0.100; 8.770; 4.050; 2.64; 9.43e+07;  4.17
 0.070; 8.990; 4.087; 2.63; 9.67e+07;  4.09
 0.110; 9.220; 4.040; 2.45; 1.29e+08;  3.67
 0.080; 9.250; 4.075; 2.50; 1.16e+08;  3.79
 0.100; 9.350; 4.050; 2.41; 1.34e+08;  3.59
 0.130; 9.390; 4.020; 2.35; 1.51e+08;  3.46
 0.220; 9.430; 3.956; 2.25; 1.70e+08;  3.32
 0.150; 9.630; 4.000; 2.22; 1.83e+08;  3.20
 0.110; 9.800; 4.040; 2.22; 1.73e+08;  3.21
 0.180; 9.910; 3.981; 2.09; 2.27e+08;  2.95
 0.170; 9.940; 3.988; 2.08; 2.29e+08;  2.93
 0.130;10.010; 4.020; 2.10; 2.06e+08;  3.00
-0.020;10.030; 4.225; 2.53;-2.62e+07;  4.71
 0.070;10.090; 4.087; 2.19; 8.00e+07;  3.44
 0.110;10.120; 4.040; 2.09; 1.35e+08;  3.20
 0.180;10.150; 3.981; 1.99; 2.61e+08;  2.79
 0.200;10.160; 3.969; 1.97; 2.75e+08;  2.75
 0.150;10.170; 4.000; 2.01; 2.44e+08;  2.83
 0.200;10.180; 3.969; 1.96; 2.79e+08;  2.74
 0.170;10.180; 3.988; 1.99; 2.58e+08;  2.79
 0.190;10.200; 3.975; 1.96; 2.75e+08;  2.74
-0.040;10.260; 4.250; 2.50;-4.97e+07;  4.84
 0.120;10.280; 4.030; 2.01; 1.47e+08;  3.06
 0.130;10.300; 4.020; 1.99; 1.60e+08;  3.01
 0.130;10.300; 4.020; 1.99; 2.15e+08;  2.88
 0.130;10.300; 4.020; 1.99; 2.32e+08;  2.84
 0.160;10.410; 3.994; 1.90; 2.77e+08;  2.68
 0.200;10.440; 3.969; 1.86; 3.17e+08;  2.59
 0.180;10.450; 3.981; 1.87; 3.01e+08;  2.62
 0.150;10.460; 4.000; 1.89; 1.93e+08;  2.85
 0.150;10.460; 4.000; 1.89; 2.22e+08;  2.79
 0.150;10.460; 4.000; 1.89; 2.74e+08;  2.68
 0.150;10.510; 4.000; 1.87; 1.94e+08;  2.82
 0.150;10.510; 4.000; 1.87; 2.47e+08;  2.72
 0.150;10.510; 4.000; 1.87; 2.79e+08;  2.65
 0.140;10.540; 4.010; 1.88; 1.76e+08;  2.83
 0.170;10.550; 3.988; 1.84; 2.18e+08;  2.76
 0.170;10.550; 3.988; 1.84; 2.19e+08;  2.76
 0.170;10.550; 3.988; 1.84; 3.02e+08;  2.59
 0.200;10.570; 3.969; 1.81; 3.37e+08;  2.52
 0.220;10.580; 3.956; 1.79; 3.58e+08;  2.48
 0.150;10.600; 4.000; 1.84; 1.94e+08;  2.77
 0.180;10.600; 3.981; 1.81; 3.18e+08;  2.55
 0.160;10.630; 3.994; 1.82; 2.06e+08;  2.73
 0.160;10.630; 3.994; 1.82; 2.85e+08;  2.60
 0.160;10.630; 3.994; 1.82; 3.00e+08;  2.57
 0.140;10.640; 4.010; 1.84; 1.74e+08;  2.77
 0.180;10.650; 3.981; 1.79; 2.32e+08;  2.69
 0.180;10.650; 3.981; 1.79; 2.46e+08;  2.67
 0.180;10.650; 3.981; 1.79; 3.24e+08;  2.52
 0.220;10.660; 3.956; 1.76; 3.71e+08;  2.44
 0.170;10.670; 3.988; 1.79; 2.19e+08;  2.69
 0.170;10.670; 3.988; 1.79; 2.81e+08;  2.59
 0.170;10.670; 3.988; 1.79; 3.15e+08;  2.53
 0.160;10.700; 3.994; 1.79; 2.06e+08;  2.69
 0.250;10.720; 3.941; 1.72; 4.07e+08;  2.38
 0.220;10.780; 3.956; 1.71; 3.91e+08;  2.38
 0.290;10.810; 3.923; 1.67; 4.51e+08;  2.31
 0.180;10.840; 3.981; 1.72; 2.33e+08;  2.58
 0.300;10.860; 3.918; 1.65; 4.69e+08;  2.28
 0.230;10.860; 3.950; 1.67; 4.17e+08;  2.33
 0.190;10.880; 3.975; 1.69; 2.47e+08;  2.55
 0.190;10.880; 3.975; 1.69; 3.51e+08;  2.41
 0.190;10.880; 3.975; 1.69; 3.62e+08;  2.40
 0.190;10.900; 3.975; 1.68; 2.47e+08;  2.54
 0.190;10.900; 3.975; 1.68; 3.64e+08;  2.39
 0.190;10.900; 3.975; 1.68; 3.64e+08;  2.39
 0.150;10.900; 4.000; 1.72; 1.85e+08;  2.60
 0.180;10.900; 3.981; 1.69; 2.31e+08;  2.55
 0.180;10.960; 3.981; 1.67; 2.30e+08;  2.52
 0.280;11.030; 3.927; 1.58; 4.95e+08;  2.21
 0.230;11.050; 3.950; 1.59; 3.16e+08;  2.40
 0.230;11.050; 3.950; 1.59; 3.45e+08;  2.37
 0.230;11.050; 3.950; 1.59; 4.43e+08;  2.25
 0.150;11.100; 4.000; 1.64; 1.66e+08;  2.50
 0.240;11.130; 3.945; 1.56; 3.30e+08;  2.35
 0.240;11.130; 3.945; 1.56; 3.73e+08;  2.31
 0.240;11.130; 3.945; 1.56; 4.66e+08;  2.21
 0.200;11.150; 3.969; 1.58; 2.56e+08;  2.39
 0.240;11.190; 3.945; 1.53; 3.30e+08;  2.32
 0.240;11.190; 3.945; 1.53; 4.16e+08;  2.24
 0.240;11.190; 3.945; 1.53; 4.73e+08;  2.18
 0.160;11.190; 3.994; 1.59; 1.73e+08;  2.44
 0.220;11.210; 3.956; 1.54; 2.93e+08;  2.33
 0.280;11.230; 3.927; 1.50; 5.36e+08;  2.12
 0.160;11.240; 3.994; 1.57; 1.64e+08;  2.42
 0.230;11.280; 3.950; 1.50; 3.11e+08;  2.29
 0.310;11.290; 3.914; 1.47; 5.88e+08;  2.07
 0.180;11.290; 3.981; 1.54; 2.01e+08;  2.36
 0.200;11.350; 3.969; 1.50; 2.38e+08;  2.30
 0.180;11.350; 3.981; 1.51; 1.91e+08;  2.33
 0.230;11.380; 3.950; 1.46; 3.06e+08;  2.24
 0.280;11.380; 3.927; 1.44; 3.95e+08;  2.20
 0.280;11.380; 3.927; 1.44; 4.47e+08;  2.16
 0.280;11.380; 3.927; 1.44; 5.58e+08;  2.07
 0.270;11.430; 3.932; 1.43; 3.75e+08;  2.19
 0.270;11.430; 3.932; 1.43; 5.18e+08;  2.08
 0.270;11.430; 3.932; 1.43; 5.47e+08;  2.06
 0.250;11.440; 3.941; 1.43; 3.37e+08;  2.20
 0.180;11.440; 3.981; 1.48; 1.71e+08;  2.29
 0.190;11.450; 3.975; 1.46; 1.96e+08;  2.27
 0.240;11.460; 3.945; 1.42; 3.17e+08;  2.20
 0.350;11.480; 3.896; 1.38; 6.89e+08;  1.97
 0.310;11.540; 3.914; 1.37; 4.52e+08;  2.11
 0.310;11.540; 3.914; 1.37; 4.88e+08;  2.09
 0.310;11.540; 3.914; 1.37; 6.35e+08;  1.98
 0.260;11.540; 3.936; 1.39; 3.49e+08;  2.15
 0.250;11.550; 3.941; 1.39; 3.29e+08;  2.15
 0.290;11.560; 3.923; 1.37; 4.09e+08;  2.12
 0.290;11.560; 3.923; 1.37; 5.69e+08;  2.01
 0.290;11.560; 3.923; 1.37; 5.98e+08;  1.99
 0.230;11.580; 3.950; 1.38; 2.81e+08;  2.15
 0.250;11.610; 3.941; 1.36; 3.21e+08;  2.12
 0.280;11.630; 3.927; 1.34; 3.83e+08;  2.09
 0.320;11.640; 3.909; 1.33; 4.71e+08;  2.06
 0.320;11.640; 3.909; 1.33; 5.44e+08;  2.02
 0.320;11.640; 3.909; 1.33; 6.70e+08;  1.93
 0.240;11.650; 3.945; 1.35; 2.91e+08;  2.11
 0.280;11.660; 3.927; 1.33; 3.80e+08;  2.08
 0.230;11.720; 3.950; 1.32; 2.51e+08;  2.09
 0.270;11.720; 3.932; 1.31; 3.51e+08;  2.06
 0.270;11.730; 3.932; 1.31; 3.49e+08;  2.06
 0.270;11.740; 3.932; 1.30; 3.47e+08;  2.05
 0.250;11.780; 3.941; 1.29; 2.89e+08;  2.05
 0.380;11.790; 3.885; 1.26; 8.18e+08;  1.83
 0.320;11.800; 3.909; 1.26; 4.62e+08;  2.00
 0.270;11.810; 3.932; 1.27; 3.34e+08;  2.02
 0.340;11.860; 3.900; 1.23; 5.09e+08;  1.96
 0.340;11.860; 3.900; 1.23; 6.91e+08;  1.87
 0.340;11.860; 3.900; 1.23; 7.45e+08;  1.84
 0.200;11.870; 3.969; 1.29; 7.40e+07;  2.10
 0.290;11.900; 3.923; 1.23; 3.70e+08;  1.97
 0.230;11.930; 3.950; 1.24; 1.77e+08;  2.02
 0.210;11.940; 3.963; 1.25; 7.72e+07;  2.05
 0.300;11.970; 3.918; 1.20; 3.83e+08;  1.94
 0.260;11.980; 3.936; 1.21; 2.53e+08;  1.97
 0.240;11.980; 3.945; 1.22; 1.88e+08;  1.99
 0.290;12.010; 3.923; 1.19; 3.43e+08;  1.93
 0.280;12.010; 3.927; 1.19; 3.09e+08;  1.94
 0.400;12.010; 3.877; 1.17; 9.12e+08;  1.75
 0.260;12.040; 3.936; 1.19; 2.29e+08;  1.95
 0.250;12.060; 3.941; 1.18; 1.81e+08;  1.95
 0.430;12.060; 3.865; 1.15; 9.92e+08;  1.72
 0.370;12.070; 3.888; 1.15; 5.65e+08;  1.87
 0.370;12.070; 3.888; 1.15; 8.11e+08;  1.77
 0.370;12.070; 3.888; 1.15; 8.37e+08;  1.76
 0.280;12.070; 3.927; 1.17; 2.86e+08;  1.92
 0.450;12.070; 3.858; 1.14; 1.04e+09;  1.71
 0.380;12.090; 3.885; 1.14; 5.90e+08;  1.86
 0.380;12.090; 3.885; 1.14; 7.96e+08;  1.77
 0.380;12.090; 3.885; 1.14; 8.65e+08;  1.74
 0.300;12.090; 3.918; 1.15; 3.51e+08;  1.89
 0.320;12.090; 3.909; 1.15; 4.16e+08;  1.88
 0.290;12.140; 3.923; 1.14; 2.92e+08;  1.88
 0.260;12.150; 3.936; 1.14; 1.66e+08;  1.91
 0.280;12.170; 3.927; 1.13; 2.42e+08;  1.88
 0.300;12.170; 3.918; 1.12; 3.17e+08;  1.86
 0.320;12.170; 3.909; 1.11; 3.94e+08;  1.85
 0.390;12.190; 3.881; 1.10; 6.07e+08;  1.82
 0.390;12.190; 3.881; 1.10; 8.76e+08;  1.72
 0.390;12.190; 3.881; 1.10; 9.02e+08;  1.71
 0.250;12.200; 3.941; 1.13; 8.46e+07;  1.91
 0.280;12.210; 3.927; 1.11; 2.20e+08;  1.87
 0.300;12.210; 3.918; 1.11; 2.99e+08;  1.85
 0.280;12.220; 3.927; 1.11; 2.12e+08;  1.87
 0.310;12.250; 3.914; 1.09; 3.20e+08;  1.83
 0.370;12.250; 3.888; 1.07; 5.39e+08;  1.80
 0.310;12.250; 3.914; 1.09; 3.20e+08;  1.83
 0.320;12.270; 3.909; 1.07; 3.53e+08;  1.81
 0.490;12.280; 3.844; 1.06; 1.20e+09;  1.62
 0.330;12.280; 3.905; 1.07; 3.91e+08;  1.80
 0.390;12.320; 3.881; 1.04; 5.88e+08;  1.77
 0.350;12.330; 3.896; 1.04; 4.48e+08;  1.77
 0.330;12.340; 3.905; 1.04; 3.62e+08;  1.78
 0.320;12.350; 3.909; 1.04; 3.12e+08;  1.79
 0.280;12.370; 3.927; 1.05; 9.33e+07;  1.83
 0.320;12.380; 3.909; 1.03; 2.96e+08;  1.78
 0.380;12.390; 3.885; 1.02; 5.36e+08;  1.74
 0.320;12.410; 3.909; 1.02; 2.78e+08;  1.77
 0.460;12.430; 3.854; 1.00; 8.12e+08;  1.71
 0.460;12.430; 3.854; 1.00; 8.90e+08;  1.68
 0.460;12.430; 3.854; 1.00; 1.17e+09;  1.59
 0.320;12.440; 3.909; 1.01; 2.56e+08;  1.76
 0.350;12.460; 3.896; 0.99; 3.86e+08;  1.73
 0.380;12.470; 3.885; 0.99; 5.08e+08;  1.71
 0.370;12.480; 3.888; 0.98; 4.66e+08;  1.71
 0.340;12.500; 3.900; 0.98; 3.18e+08;  1.72
 0.350;12.510; 3.896; 0.97; 3.56e+08;  1.71
 0.350;12.530; 3.896; 0.96; 3.44e+08;  1.71
 0.290;12.550; 3.923; 0.97;-2.09e+07;  1.77
 0.310;12.550; 3.914; 0.97; 9.27e+07;  1.74
 1.020;12.570; 3.718; 1.03; 1.10e+09;  1.76
 0.300;12.590; 3.918; 0.95;-6.12e+06;  1.74
 0.390;12.620; 3.881; 0.92; 4.82e+08;  1.66
 0.410;12.630; 3.873; 0.92; 5.68e+08;  1.65
 0.370;12.650; 3.888; 0.91; 3.61e+08;  1.66
 0.370;12.660; 3.888; 0.91; 3.54e+08;  1.66
 0.330;12.680; 3.905; 0.91; 7.99e+07;  1.69
 0.380;12.730; 3.885; 0.88; 3.54e+08;  1.63
 0.480;12.740; 3.847; 0.87; 8.30e+08;  1.60
 0.380;12.750; 3.885; 0.87; 3.39e+08;  1.63
 0.510;12.760; 3.837; 0.87; 9.40e+08;  1.59
 0.510;12.760; 3.837; 0.87; 1.15e+09;  1.54
 0.510;12.760; 3.837; 0.87; 1.42e+09;  1.48
 0.360;12.770; 3.892; 0.87; 1.75e+08;  1.64
 0.510;12.780; 3.837; 0.86; 9.35e+08;  1.58
 0.510;12.780; 3.837; 0.86; 1.18e+09;  1.53
 0.510;12.780; 3.837; 0.86; 1.43e+09;  1.48
 0.360;12.790; 3.892; 0.86; 1.51e+08;  1.63
 0.470;12.800; 3.850; 0.85; 7.76e+08;  1.58
 0.360;12.800; 3.892; 0.85; 1.39e+08;  1.63
 0.390;12.810; 3.881; 0.85; 3.43e+08;  1.60
 0.430;12.840; 3.865; 0.83; 5.54e+08;  1.58
 0.340;12.850; 3.900; 0.84;-5.81e+07;  1.63
 0.440;12.850; 3.862; 0.83; 6.05e+08;  1.57
 0.700;12.850; 3.784; 0.85; 2.02e+09;  1.42
 0.530;12.870; 3.831; 0.83; 9.96e+08;  1.55
 0.530;12.870; 3.831; 0.83; 1.24e+09;  1.50
 0.530;12.870; 3.831; 0.83; 1.60e+09;  1.44
 0.410;12.880; 3.873; 0.82; 4.03e+08;  1.57
 1.000;12.890; 3.720; 0.89; 1.49e+09;  1.59
 0.420;12.900; 3.869; 0.81; 4.46e+08;  1.56
 0.440;12.950; 3.862; 0.79; 5.29e+08;  1.54
 0.410;12.960; 3.873; 0.79; 3.11e+08;  1.55
 0.670;12.960; 3.791; 0.81; 2.25e+09;  1.38
 0.430;12.970; 3.865; 0.78; 4.48e+08;  1.54
 0.420;12.970; 3.869; 0.78; 3.81e+08;  1.54
 0.490;12.970; 3.844; 0.78; 7.94e+08;  1.52
 0.570;12.970; 3.819; 0.79; 1.15e+09;  1.52
 0.570;12.970; 3.819; 0.79; 1.21e+09;  1.50
 0.570;12.970; 3.819; 0.79; 1.92e+09;  1.39
 0.530;13.030; 3.831; 0.76; 9.50e+08;  1.50
 0.530;13.030; 3.831; 0.76; 1.67e+09;  1.40
 0.530;13.030; 3.831; 0.76; 1.68e+09;  1.40
 0.360;13.050; 3.892; 0.75;-2.04e+08;  1.57
 0.630;13.050; 3.800; 0.76; 2.32e+09;  1.35
 0.420;13.060; 3.869; 0.75; 2.55e+08;  1.52
 0.420;13.060; 3.869; 0.75; 2.55e+08;  1.52
 0.500;13.070; 3.841; 0.74; 8.06e+08;  1.49
 0.280;13.070; 3.927; 0.77;-7.42e+08;  1.64
 0.420;13.080; 3.869; 0.74; 2.25e+08;  1.52
 0.380;13.100; 3.885; 0.73;-1.34e+08;  1.54
 0.460;13.120; 3.854; 0.72; 5.30e+08;  1.48
 0.560;13.140; 3.822; 0.72; 1.13e+09;  1.46
 0.560;13.140; 3.822; 0.72; 1.76e+09;  1.38
 0.560;13.140; 3.822; 0.72; 1.97e+09;  1.36
 0.470;13.170; 3.850; 0.70; 5.78e+08;  1.46
 0.430;13.170; 3.865; 0.70; 1.87e+08;  1.49
 0.450;13.180; 3.858; 0.70; 3.86e+08;  1.47
 0.430;13.180; 3.865; 0.70; 1.73e+08;  1.49
 0.520;13.190; 3.834; 0.70; 9.07e+08;  1.45
 0.400;13.190; 3.877; 0.70;-1.21e+08;  1.51
 0.560;13.200; 3.822; 0.70; 1.15e+09;  1.44
 0.560;13.200; 3.822; 0.70; 1.96e+09;  1.35
