B-V;Vmag;log.Teff;logL;Age;Mass
 1.340;12.410; 3.640; 1.63; 8.36e+08;  2.14
 1.280;12.460; 3.652; 1.56; 4.87e+08;  2.33
 1.280;12.460; 3.652; 1.56; 5.08e+08;  2.33
 1.280;12.460; 3.652; 1.56; 7.28e+08;  2.25
 1.230;12.630; 3.662; 1.47; 4.54e+08;  2.38
 1.230;12.630; 3.662; 1.47; 4.89e+08;  2.38
 1.230;12.630; 3.662; 1.47; 6.88e+08;  2.27
 1.170;12.670; 3.674; 1.43; 3.99e+08;  2.48
 1.620;12.710; 3.574; 1.82;         ;
 1.290;12.900; 3.650; 1.39; 8.43e+08;  1.96
 1.290;12.900; 3.650; 1.39; 8.50e+08;  1.96
 1.290;12.900; 3.650; 1.39; 1.06e+09;  1.94
 1.220;12.920; 3.664; 1.35; 5.89e+08;  2.19
 1.220;12.920; 3.664; 1.35; 6.23e+08;  2.19
 1.220;12.920; 3.664; 1.35; 8.46e+08;  2.10
 1.090;12.930; 3.690; 1.29; 4.86e+08;  2.32
 1.030;13.040; 3.702; 1.22; 6.26e+08;  2.13
 1.320;13.220; 3.644; 1.29; 2.08e+09;  1.49
 0.810;13.230; 3.742; 1.09; 1.10e+09;  1.76
 0.680;13.290; 3.770; 1.05; 1.35e+09;  1.63
 0.600;13.300; 3.789; 1.03; 1.39e+09;  1.60
 1.190;13.340; 3.670; 1.17; 7.96e+08;  1.98
 1.190;13.340; 3.670; 1.17; 8.32e+08;  1.99
 1.190;13.340; 3.670; 1.17; 9.86e+08;  1.94
 0.520;13.370; 3.809; 1.00; 1.47e+09;  1.55
 1.140;13.410; 3.680; 1.12; 7.62e+08;  2.00
 0.450;13.470; 3.831; 0.95; 1.41e+09;  1.53
 1.010;13.480; 3.706; 1.04; 9.69e+08;  1.84
 1.180;13.550; 3.672; 1.08; 9.47e+08;  1.87
 1.180;13.550; 3.672; 1.08; 9.88e+08;  1.88
 1.180;13.550; 3.672; 1.08; 1.12e+09;  1.84
 1.000;13.570; 3.708; 1.00; 1.07e+09;  1.78
 0.990;13.590; 3.709; 0.99; 1.11e+09;  1.76
 0.590;13.610; 3.791; 0.91; 1.76e+09;  1.47
 1.110;13.630; 3.686; 1.02; 9.17e+08;  1.88
 0.700;13.650; 3.766; 0.91; 1.79e+09;  1.48
 0.980;13.770; 3.710; 0.92; 1.31e+09;  1.66
 1.160;13.810; 3.676; 0.97; 1.14e+09;  1.76
 1.160;13.810; 3.676; 0.97; 1.20e+09;  1.76
 1.160;13.810; 3.676; 0.97; 1.23e+09;  1.76
 0.700;13.870; 3.766; 0.82; 2.22e+09;  1.39
